,pertanyaan,jawaban
619,Saya mengguncang dan mengalami serangan panik.,"Salah satu cara untuk memahami serangan panik adalah sebagai tanda perasaan tidak aman atau kurang percaya diri pada area tertentu atau karakteristik diri Anda. Kadang -kadang tidak aman dapat terasa luar biasa dan ini memulai rasa panik. Salah satu cara untuk membangun rasa aman Anda dalam diri Anda adalah dengan memiliki kehidupan yang sederhana dan kehidupan yang berjalan lambat. Ketika ada banyak kegiatan atau keterlibatan untuk memperhatikan, maka mudah untuk tidak memberikan perhatian penuh kepada semuanya. Ini mungkin memicu rasa tidak aman karena sebenarnya Anda mungkin tidak punya cukup waktu untuk mempelajari dan mengetahui pendapat Anda sendiri tentang semua kehidupan Anda yang terbenam. Perasaan dan reaksi. Untuk mengetahui lebih banyak tentang diri Anda dapat membantu membangun kepercayaan diri dan keamanan Anda dalam kemampuan Anda untuk mengetahui dan menjalani apa yang terjadi dalam hidup Anda!"
620,Saya mengguncang dan mengalami serangan panik.,"Salah satu hal pertama yang saya sarankan adalah melihat apakah Anda dapat melacak apa yang membuat Anda merasa cemas. Jika Anda bergetar sepanjang waktu, pertimbangkan untuk berbicara dengan dokter perawatan primer Anda. Kadang -kadang itu bisa menjadi ketidakseimbangan hormon atau ketidakseimbangan kimia lain (seperti tiroid). Salah satu hal yang paling sulit tentang kecemasan adalah bahwa memiliki kecemasan (terutama serangan panik) dapat menyebabkan kecemasan tentang serangan panik yang lebih. Juga ingat bahwa serangan panik biasanya merupakan bagian dari respons protektif otak Anda terhadap apa yang dianggapnya sebagai semacam ancaman. Anda mungkin pernah mendengar tentang pertarungan atau respons penerbangan. Ketika Anda mengalami serangan kecemasan, tubuh Anda mempersiapkan Anda untuk bereaksi terhadap sesuatu yang sebenarnya bukan ancaman, jadi hampir jika Anda bertarung atau respons penerbangan terlalu aktif. Berikut adalah gambar yang mungkin bermanfaat: http://psychology.tools/fight-or-flight-response.htmlHere adalah banyak hal berbeda yang dapat Anda lakukan. Anda dapat berlatih pernapasan, perhatian, meditasi, atau teknik yoga. Jika Anda memutuskan untuk mencoba beberapa teknik pernapasan, cobalah bernapas untuk hitungan lima, memegang hitungan lima, bernafas untuk hitungan lima, dan berulang lima kali. Semua ingat bahwa lebih mudah untuk mempelajari teknik ini ketika Anda Tidak memiliki serangan panik. Pada saat itu, bisa sangat sulit untuk menggunakan metode untuk tidak panik. Juga ingat bahwa serangan panik biasanya berlangsung 5 hingga 10 menit. Menggunakan teknik untuk memperlambat pernapasan Anda atau menjadi fokus pada ruangan di sekitar Anda mungkin paling membantu ketika Anda pertama kali mulai merasa cemas. Berikut adalah beberapa teknik lain yang dapat membantu mengurangi kecemasan: http://psychentral.com/lib/9- Cara-ke-reduce-kecemasan-kanan-di-right-now/Saat Anda mengetahui apa yang mengarah pada kecemasan Anda, juga pertimbangkan untuk bertanya pada diri sendiri apa yang membuat masalah tertentu menjadi perhatian besar bagi Anda. Pertanyaan penting lainnya adalah ketika Anda merasa seperti itu sebelumnya."
621,Saya belum merasa seperti diri saya akhir -akhir ini. Saya kesal tanpa alasan dan merasa cemas. Saya merasa lelah. Apa yang bisa membantu saya merasa lebih baik?,"Apakah ini membantu memberi nama pada pengalaman yang Anda miliki? Di mana Anda pertama kali berkata, ""Saya telah kesal tanpa alasan dan merasa cemas,"" Anda kemudian mengatakan bahwa Anda ""merasa lelah,"" yang memberikan sedikit lebih banyak konteks tentang apa yang mungkin pernah terasa seperti ""tidak ada alasan."" Mungkin Anda merasa lelah! Itu masalah besar, dan tolong cobalah untuk tidak menganggapnya enteng! Ketika kita terbakar, saya telah menemukan bahwa itu dari salah satu dari dua hal: Entah kita tidak melakukan apa yang kita inginkan, atau kita melakukan terlalu banyak (salah satu dari sesuatu yang kita inginkan atau sesuatu yang tidak kita lakukan, tidak terlalu penting Begitu kami melakukan terlalu banyak.) Jika salah satu dari cincin itu benar untuk pengalaman Anda, cobalah sebanyak mungkin untuk duduk dengan pengalaman dan mendapatkan pengertian yang lebih baik dari mana kelelahan berasal. Saya menulis tentang kelelahan untuk buletin dan ada di situs web saya. Saya tidak ingin melakukan promosi yang tidak tahu malu, tetapi saya pikir itu juga bisa menambah membantu Anda: https://davidkleintherapy.com/my-experiences-with-burnout/i berharap Anda juga dapat melihat bahwa itu bukan pengalaman yang tidak normal ."
622,Saya belum merasa seperti diri saya akhir -akhir ini. Saya kesal tanpa alasan dan merasa cemas. Saya merasa lelah. Apa yang bisa membantu saya merasa lebih baik?,"Tidak ada kemungkinan sehingga Anda kesal karena ""tidak ada alasan""! Alasannya tidak jelas, bukan karena Anda merasa kesal dalam menanggapi apa pun. Apa yang dapat membantu Anda merasa lebih baik adalah bersikap baik dan lembut dengan diri sendiri karena ini Semacam pendekatan akan lebih rileks suasana hati dan pola pikir Anda cukup untuk ketegangan dan kecemasan yang Anda rasakan, untuk menghilang agak. Kecemasan Anda. Ini adalah kabar baik bahwa Anda tahu perbedaan antara perasaan Anda yang biasa dan bahwa Anda telah jauh dari perasaan ini. Beri diri Anda sedikit pujian untuk memahami diri sendiri. Memberi kredit menambah kepercayaan dan kepercayaan diri akan membantu Anda menemukan alasan dan cara baru untuk menangani kecemasan Anda."
623,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Ketakutan tidak terlalu sulit untuk dihadapi, pertama -tama Anda perlu melatih diri Anda untuk bersantai menggunakan beberapa strategi relaksasi, begitu Anda dapat menggunakannya dalam kehidupan sehari -hari, Anda kemudian harus mulai menghadapi ketakutan Anda, misalnya saya akan menggunakan sebuah Contoh seorang pria yang takut mengemudi di atas jembatan. Kami akan membangun hierarki ketakutan, itu adalah daftar ketakutan mulai dari paling sedikit hingga kebanyakan, misalnya pria itu mungkin ingin memulai dengan melihat gambar jembatan saat menggunakan teknik hubungannya, maka ia mungkin ingin melihat yang nyata Jembatan dari kejauhan sambil menggunakan teknik relaksasi yang sama, lalu bergerak lebih dekat ke jembatan, lalu mungkin berdiri di jembatan, sambil bergerak lebih dekat ke ketakutannya saat bersantai, sampai Anda sampai pada proposisi yang paling menakutkan yang melintasi jembatan itu, atau Anda juga dapat terlibat dalam banjir yang misalnya, jika Anda takut pada lift, pergi ke lift sampai Anda tidak lagi panik, dalam film Batman dimulai, Bruce Wayne yang memiliki rasa takut yang hebat akan kelelawar, masuk ke gua ini dan membiarkan dirinya dikelilingi oleh kelelawar sampai dia tidak lagi takut pada mereka. Kedua, lihat ketakutan Anda, apakah mereka bahkan perlu dikerjakan, beberapa ketakutan itu sehat, misalnya jika saya seorang terapis di New York City dan seseorang datang kepada saya dan berkata ""Saya takut ular"", saya akan melakukannya mungkin mengatakan itu baik -baik saja karena ada sangat sedikit ular yang tersisa di Manhattanhope yang membantu c"
624,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Ketakutan Anda mungkin memiliki akar yang lebih dalam dalam perasaan Anda tentang siapa Anda, daripada yang Anda sadari. Ketakutan terkadang tidak rasional sehingga logika tidak menyingkirkannya. Pikirkan apakah Anda merasa aman dan percaya diri sebagai seorang anak. Juga, apakah ada peristiwa buruk besar terjadi pada Anda dengan orang lain atau situasi ketika Anda tumbuh dewasa? Seringkali situasi yang luar biasa tentang masa kanak -kanak tinggal bersama kami sebagai ketakutan akan situasi dalam kehidupan orang dewasa kita. Jika akar masalahnya, ketakutannya sejak dulu, maka mungkin seorang terapis yang dapat mengajukan pertanyaan kepada Anda yang membantu Anda mengingat keadaan masa kanak -kanak yang mengecewakan, dapat membantu Anda membubarkan ketakutan saat ini. Kemungkinan lain adalah CBT, terapi perilaku kognitif yang mengajarkan Orang -orang mantra jangka pendek untuk melakukan sesuatu yang aman, mengatakan menjadi penumpang di pesawat komersial, yang terasa menakutkan bagi seseorang. CBT adalah jangka pendek dan hasilnya terbatas pada ketakutan spesifik. Ini adalah pendekatan yang jauh lebih cepat daripada pemahaman diri."
625,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Ketakutan adalah bagian dari kehidupan. Bahkan, lima emosi utama kita adalah kegembiraan, ketakutan, kesedihan, rasa malu, dan kemarahan. Kita cenderung menghabiskan banyak waktu dan energi melarikan diri dari atau mencoba menyingkirkan sebagian besar emosi itu dan semakin banyak kita melakukan itu, semakin kita mengatur diri kita untuk kegagalan dan kekecewaan. Sebagai hasil dari melihat emosi manusia kita sebagai ""buruk"" atau ""salah,"" kita sering terjebak dalam perangkap berpikir kita harus mengatasinya atau menyingkirkannya sebelum kita dapat melakukan apa yang penting bagi kita. Pada kenyataannya, Anda dapat melakukan apa yang penting bagi Anda saat memiliki ketakutan Anda! Pertanyaan saya untuk Anda adalah, apa yang akan Anda lakukan jika ketakutan ini benar -benar hilang? Perilaku apa yang akan Anda miliki jika Anda adalah orang yang ideal? Keterampilan, pengetahuan, atau kualitas pribadi apa yang akan Anda kembangkan? Hubungan seperti apa yang akan Anda miliki? Saya membayangkan ketakutan Anda telah membuat Anda tidak mencapai tujuan itu karena pikiran Anda memberi tahu Anda bahwa Anda tidak dapat melakukannya sampai ketakutan itu hilang. Saya menantang Anda untuk melakukan latihan berikut: Apa tujuan yang ingin Anda capai? Contoh: Saya ingin mengubah karier apa tindakan yang diperlukan untuk menyelesaikan tujuan ini? Contoh: Lihat penasihat karir untuk menentukan karier ideal saya, kembali ke sekolah/Dapatkan sertifikasi, jaringan dengan orang lain di industri yang saya inginkan, apa pikiran, perasaan, atau dorongan yang mungkin menghalangi saya? Contoh: Pikiran ""Bagaimana jika saya gagal? Saya tidak cukup pintar. Saya tidak bisa melakukannya. Saya terlalu sibuk untuk memasukkan energi ke dalam ini."" Perasaan takut, malu, kegembiraan. Mendesak untuk mengalihkan perhatian saya melalui minum atau menonton TV alih -alih mengambil tindakan. Akan sangat membantu untuk mengingatkan diri sendiri bahwa: Contoh: Wajar untuk memiliki pikiran, perasaan, dan dorongan ini tetapi saya tetap dapat mengambil tindakan. Saya layak memiliki kehidupan yang memuaskan. Langkah terkecil dan termudah yang dapat saya ambil sekarang: Contoh: Peneliti Peneliti di daerah saya dan menuliskan nomor telepon mereka waktu, hari dan tanggal yang akan saya ambil langkah pertama itu, adalah: Contoh: Malam ini Pada pukul 19:00 setidaknya memikirkan jawaban ini tetapi paling bermanfaat untuk menuliskannya. Semoga membantu!"
626,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Jawaban ini bisa sangat berbeda tergantung pada ketakutan, tingkat itu, dan apa yang terhubung ke. Saya bertanya -tanya hal -hal berikut: Pada skala 1 hingga 10, betapa kesal, cemas, atau takut untuk Anda dapatkan ketika Anda berpikir untuk mengatasinya ini? Jika lebih dari 5/10, saya pasti akan merekomendasikan berbicara dengan terapis di daerah Anda. Banyak kekhawatiran bahwa kami berasal dari sesuatu yang pada suatu waktu adalah pelindung diri dan penting. Apakah Anda tahu dari mana ketakutan Anda dimulai? Jika Anda pikir itu masih melindungi Anda atau membantu Anda dengan cara tertentu, bicarakan dengan seseorang (seperti terapis) tentang hal itu. Jika itu adalah sesuatu yang Anda tahu tidak rasional (misalnya, takut disakiti dengan melekat statis dari pakaian musim dingin) , apakah ada sebagian dari itu yang tidak Anda takuti? Saya benar -benar mendorong Anda untuk mempertimbangkan apakah ketakutan Anda memiliki banyak emosi yang terhubung dengannya atau apakah itu terkait dari sesuatu di masa lalu Anda yang sangat emosional bagi Anda pada saat itu. Jika ya, pertimbangkan untuk bekerja dengan terapis untuk membangun keamanan emosional sebelum menghilangkan rasa takut atau kecemasan yang mungkin benar -benar membantu Anda. Juga, fakta bahwa Anda memperhatikan bahwa Anda takut akan sesuatu dan Anda tidak ingin takut Lagi adalah langkah besar ke arah depan."
627,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Secara biologis, ketakutan dirancang untuk melindungi kita dari bahaya. Ketakutan tidak selalu merupakan hal yang buruk, dan pada kenyataannya bisa sangat sehat dan sesuai tergantung pada situasinya. Namun, fobia berbeda. Anda menggunakan istilah ""ketakutan"" daripada ""fobia"". Fobia adalah ketakutan yang tidak rasional - artinya tidak rasional bagi Anda untuk takut akan hal itu. Jika situasi Anda adalah fobia, terapi paparan dapat membantu. Ini terdiri dari secara bertahap mengekspos diri Anda sedikit sekaligus pada hal yang Anda takuti. Beberapa orang dengan fobia menemukan bahwa ketakutan yang tidak rasional mengganggu kehidupan mereka dan mereka perlu mengatasinya. Seseorang yang takut mengemudi di atas jembatan mungkin berusaha keras untuk menghindari rute yang memiliki jembatan. Orang -orang yang takut pada lift mungkin selalu menggunakan tangga, yang mungkin tidak selalu layak. Jika mengatasi fobia akan meningkatkan kualitas hidup Anda, maka dengan segala cara, cari bantuan profesional untuk mengatasinya. Semua orang memiliki ketakutan, atau hal -hal yang membuat mereka gugup. Berbicara di depan umum, mengajak seseorang keluar, takut gagal. Periksa apa ketakutan Anda dan cobalah untuk menentukan alasan ketakutan. Ketika Anda bisa mencapai akar penyebab ketakutan, Anda dapat menangani masalah itu. Sering kali, ini adalah masalah harga diri. Anda mungkin dapat mengupas lapisan ketakutan dan mencari tahu apa yang menyebabkannya dan menangani masalah sebenarnya. Beberapa kekhawatiran disebabkan oleh trauma. Seseorang dengan PTSD akan memiliki respons ketakutan yang berlebihan dan akan menemukan diri mereka ditendang ke mode ""pertarungan atau penerbangan"" atas hal -hal yang tidak akan diperhatikan oleh seseorang tanpa pengalaman trauma. Dalam kasus seperti ini, terapi paparan akan menjadi pendekatan yang salah dan benar -benar dapat memperburuk keadaan. Jika ada kemungkinan bahwa trauma masa lalu adalah penyebab ketakutan Anda, saya sangat mendesak Anda untuk mencari terapis - bukan sembarang terapis, tetapi orang yang dilatih untuk bekerja dengan trauma dan penyalahgunaan korban."
628,"Saya takut akan sesuatu dan saya ingin menghadapi rasa takut untuk mengatasinya, tetapi saya tidak tahu caranya. Apa yang dapat saya?","Halo dan terima kasih untuk pertanyaan Anda. Mengatasi ketakutan adalah sesuatu yang semua orang kesulitan pada satu waktu atau yang lain. Terkadang kita menemukan sesuatu yang membuat kita takut, kita mendorongnya dan tiba -tiba kita tidak takut lagi. Tapi kadang -kadang sepertinya ketakutan kita hanya mengambil alih dan kita tidak bisa mengatasinya. Ada beberapa opsi: 1. Anda dapat pergi ke konselor dan menerima beberapa jenis perawatan. Jenis perawatan apa yang tergantung pada jenis ketakutan yang Anda alami. Misalnya, jika Anda memiliki fobia umum tentang sesuatu, mereka dapat menggunakan berbagai teknik untuk membantu Anda mengelolanya. 2. Ada berbagai situs web dan bahkan beberapa buku swadaya yang dapat Anda gunakan untuk mencoba mengatasi ketakutan Anda. Ketika datang untuk mengatasi ketakutan atau fobia tertentu, terapi paparan yang dipelajari dengan baik dan terbukti berhasil. Seorang terapis akan membantu Anda dalam hal ini, tetapi beberapa situs web memberikan instruksi tentang cara melakukannya sendiri. Saya tidak yakin seberapa baik kerjanya ketika Anda mencobanya sendiri, tetapi di sini ada tautan ke situs web yang menawarkan beberapa alat. http://psychology.tools/anxiety.htmlsome rekannya dapat menawarkan Anda beberapa jenis nasihat lainnya. Be Well.robin J. Landwehr, DBH, LPCC, NCC"
629,"Saya tidak ingat ketika suara -suara di kepala saya dimulai, tetapi saya ingat pernah mendengarnya ketika saya masih kecil. Saya tahu tidak normal mendengar suara -suara yang bukan milik Anda. Saya melawan suara -suara dan saya ingin mereka berhenti. Mereka sudah lama di sini dan saya ingin mereka pergi. Bagaimana cara membuat suara berhenti?","Bagaimana hidup Anda secara keseluruhan? Karena Anda mendengar suara sejak Anda masih muda, saya bertanya-tanya apakah maksud Anda pikiran masing-masing dari kita memiliki apa yang harus dilakukan, pendapat kami, termasuk kritik diri dan pujian. Saya mencoba memahami seberapa parah masalah ini Suara adalah jika Anda berhasil mencapai titik dalam kehidupan kesadaran tentang suara -suara itu. Biasanya ketika kesehatan mental orang mendengar tentang suara -suara pemikiran langsung adalah Anda membutuhkan obat -obatan terlarang Anda psikotik. Karena ini akan terjadi selama beberapa tahun , Saya bertanya -tanya apakah masalahnya berbeda."
630,"Saya tidak ingat ketika suara -suara di kepala saya dimulai, tetapi saya ingat pernah mendengarnya ketika saya masih kecil. Saya tahu tidak normal mendengar suara -suara yang bukan milik Anda. Saya melawan suara -suara dan saya ingin mereka berhenti. Mereka sudah lama di sini dan saya ingin mereka pergi. Bagaimana cara membuat suara berhenti?","Kamu benar. Tidak normal mendengar suara -suara yang bukan milik Anda, tetapi faktanya adalah beberapa orang. Dalam pengalaman saya, obat tampaknya membantu. Penting juga untuk dipahami ketika Anda mendengar suara -suara yang paling - artinya penting untuk memahami apa pemicu. Penting juga untuk dipahami ketika suara -suara itu paling sedikit - artinya apa yang membantu Anda menangani suara -suara yang lebih baik. Klien saya telah melaporkan bahwa pemicu mereka sedang dalam pertemuan sosial atau di sekitar orang asing atau bahkan untuk TV. Mencoba mengidentifikasi pemicu Anda sangat membantu bagi sebagian orang. Klien juga melaporkan bahwa mendengarkan musik, menonton TV, bersama teman atau keluarga membantu mereka menangani suara mereka. Setiap individu berbeda dan Anda perlu mencari tahu apa yang cocok untuk Anda dan apa yang memicu suara Anda. Saran saya adalah menemui terapis / penyedia layanan kesehatan dan kemudian pergi dari sana. Saya berharap ini membantu."
631,"Saya tidak ingat ketika suara -suara di kepala saya dimulai, tetapi saya ingat pernah mendengarnya ketika saya masih kecil. Saya tahu tidak normal mendengar suara -suara yang bukan milik Anda. Saya melawan suara -suara dan saya ingin mereka berhenti. Mereka sudah lama di sini dan saya ingin mereka pergi. Bagaimana cara membuat suara berhenti?","Pertama, izinkan saya mengungkapkan dukungan dan belas kasih saya atas apa yang Anda alami. Mendengar suara bisa sangat sulit dan bisa terasa seperti Anda tidak bisa mendapatkan kedamaian sesaat, bahkan dalam privasi pikiran Anda sendiri. Dan tidak semua orang akan memahami apa yang Anda hadapi, jadi saya membayangkan Anda mungkin juga merasa terisolasi atau entah bagaimana berbeda. Atta cewek/anak laki -laki untuk mencari bantuan! Banyak orang menemukan manfaat minum obat, seperti Risperdal, Seroquel, dan sebagainya. Ini harus diresepkan oleh praktisi perawat atau psikiater - saya tidak merekomendasikan usaha dokter perawatan primer ke dalam bidang ini, sebagai aturan umum. Diskusikan opsi secara menyeluruh dan bersikeras hubungan yang baik dengan prescriber Anda, jika Anda memutuskan untuk menempuh rute ini. Beberapa orang memiliki hasil dengan talk-tangis untuk mengembangkan strategi koping. Ada pendekatan baru dan agak kurang konvensional untuk menantang suara dengan seorang profesional untuk membantu Anda, daripada menekan suara -suara, yang akan dilakukan obat. Ada organisasi yang dikelola peer dan pendekatan umum yang berupaya hidup dengan suara dengan cara yang berbeda. Anda dapat membacanya di Living With Voices oleh Marius Romme. Saya telah mendengar wawancara tetapi belum membaca buku dan tidak dapat berbicara dengan kemanjurannya. Apa pun langkah -langkah yang Anda putuskan untuk mencoba, mengelola stres, tidur, olahraga, makanan sehat adalah penting - dengan kata lain, hanya perawatan sehari -hari dan memberi makan diri Anda harus dimasukkan dalam semua upaya Anda dan memiliki manfaat mengejutkan bagi otak Anda dan kesehatan emosional. Harapan terbaik untuk Anda, Karen Keys, LMHC, CASAC"
632,"Saya tidak ingat ketika suara -suara di kepala saya dimulai, tetapi saya ingat pernah mendengarnya ketika saya masih kecil. Saya tahu tidak normal mendengar suara -suara yang bukan milik Anda. Saya melawan suara -suara dan saya ingin mereka berhenti. Mereka sudah lama di sini dan saya ingin mereka pergi. Bagaimana cara membuat suara berhenti?","Ini bukan sesuatu yang dapat Anda lakukan sendiri. Jika Anda belum melakukannya, Anda perlu menemui dokter medis ASAP untuk mengesampingkan penyebab medis untuk ini. Banyak penyakit, penyakit, dan kondisi dapat menyebabkan halusinasi. Pada orang tua, kadang -kadang itu sesuatu yang sederhana seperti infeksi saluran kemih. Beberapa obat mungkin memiliki efek samping itu juga. Namun, Anda mengatakan Anda sudah mendengarnya sejak Anda masih kecil. Saya tidak tahu berapa umur Anda sekarang, tetapi sesuatu yang telah terjadi selama bertahun -tahun membuat saya berpikir itu bisa menjadi jenis skizofrenia. Seorang psikiater dapat mendiagnosis bahwa setelah melihat sejarah Anda, riwayat medis, dll. Ada obat -obatan yang dapat mereka lakukan yang akan membantu. Satu hal yang menurut saya menggembirakan adalah Anda mengenali Anda mendengar suara. Ini berarti Anda tidak begitu jauh ke dalam khayalan untuk percaya itu nyata. Banyak orang yang mendengar atau melihat hal -hal yang tidak ada tidak dapat memiliki kesadaran bahwa hal -hal ini tidak nyata. Mereka sepenuhnya percaya apa yang mereka dengar/lihat. Benar -benar nyata bagi mereka. Karena Anda memiliki kesadaran yang Anda lakukan, saya merasa ini adalah pertanda yang sangat baik bahwa dengan perawatan Anda dapat menjalani kehidupan normal (dengan asumsi Anda belum menerima perawatan untuk itu. Jika Anda dan masih mendengar suara, ketahuilah itu Obat -obatan seringkali perlu diubah dan disesuaikan, dan suara -suara itu mungkin tidak pernah sepenuhnya hilang tetapi obat -obatan tentu saja banyak membantu menumpulkannya. Selalu berbicara dengan dokter Anda ketika tampaknya gejala Anda semakin buruk sehingga mereka dapat membuat penyesuaian obat yang diperlukan untuk Anda ). Jika kapan saja suara -suara itu menyuruh Anda melakukan sesuatu, silakan pergi ke UGD karena ini adalah keadaan darurat. Kadang -kadang orang mendengar suara -suara mengatakan kepada mereka untuk melukai diri sendiri, menyakiti orang lain, atau melakukan hal -hal lain yang melanggar hukum. Jangan mencoba menangani sesuatu seperti itu sendiri. Ada orang yang bisa membantu."
633,"Saya telah menabrak kepala dan lantai sejak saya masih muda. Terkadang saya masih melakukannya tetapi saya tidak tahu mengapa, saya memiliki kecemasan dan saya memiliki masa kecil yang kasar tetapi sekarang saya akan mulai memukul kepala saya dan kadang -kadang tidak menyadarinya tetapi saya tidak tahu bagaimana berhenti atau bahkan mengapa Aku melakukannya. Bagaimana saya bisa membantu diri saya untuk mengubah perilaku saya?","Beri diri Anda banyak empati dan kepedulian karena memiliki masa kecil yang kasar dan menyadari bahwa hidup bisa lebih baik daripada bagaimana Anda diperlakukan saat tumbuh dewasa. Bersabarlah dengan diri Anda sendiri juga perubahan yang bertahan lama membutuhkan waktu. Alternatif untuk memukul kepala Anda membutuhkan pengingat lembut yang konstan untuk melakukan perilaku baru ini, atau jika Anda telah menemukan alternatif yang memuaskan dalam satu saat, waktu diperlukan bagi Anda untuk mengulangi alternatif ini sampai terasa alami. Dipahami tumbuh dewasa dan dilarikan untuk mematuhi keinginan orang lain yang merupakan bagian reguler dari kehidupan mereka. Kecuali jika orang tersebut mulai tahu dan menerima keinginan dan kebutuhan mereka sebagai valid. Biarkan diri Anda belajar siapa Anda sebenarnya dalam semangat menerima apa pun yang Anda temukan tentang diri Anda. Perilaku ini secara alami akan berubah dengan pemahaman baru dan penerimaan diri Anda. Beruntung dan nikmati proyek penemuan diri ini!"
634,"Saya telah menabrak kepala dan lantai sejak saya masih muda. Terkadang saya masih melakukannya tetapi saya tidak tahu mengapa, saya memiliki kecemasan dan saya memiliki masa kecil yang kasar tetapi sekarang saya akan mulai memukul kepala saya dan kadang -kadang tidak menyadarinya tetapi saya tidak tahu bagaimana berhenti atau bahkan mengapa Aku melakukannya. Bagaimana saya bisa membantu diri saya untuk mengubah perilaku saya?","Halo. Saya harus bertanya -tanya dari perspektif perilaku jika apa yang Anda lakukan berguna untuk Anda. Dengan kata lain, apakah itu melayani tujuan dalam beberapa cara ketika Anda menemukan diri Anda melakukannya. Ya, ini bisa jadi ekspresi kecemasan, atau mungkin beberapa jenis keterampilan koping yang telah Anda kembangkan selama bertahun -tahun untuk menghadapi situasi yang penuh tekanan. Namun sepertinya Anda telah mengembangkan semacam pengkondisian perilaku spontan yang menyebabkan Anda melakukan perilaku ini selama keadaan spesifik (atau bahkan mungkin tidak spesifik). Apakah Anda pikir itu adalah perilaku yang menenangkan diri? Apakah Anda merasa baik setelah melakukannya? Perilaku itu sendiri kemungkinan menyebabkan beberapa bentuk kerusakan fisik yang lambat, jadi saya akan merekomendasikan Anda telah diperiksa oleh dokter, untuk menyingkirkan cedera apa pun. Jika tidak ada, ini jelas tidak memaafkan perilaku, itu hanya mengatakan bahwa untuk saat ini keberuntungan ada di pihak Anda. Ketika kami melakukan perilaku apa pun, ada baiknya bertanya apakah apa yang kami lakukan memiliki nilai atau nilai. Apakah perilaku membantu kita untuk menyelesaikan masalah kita, atau hanya menciptakan masalah lain dengan melakukan perilaku di tempat pertama. Dengan cara yang sama bahwa seseorang dapat minum secara berlebihan karena mereka stres dan perlu mengatasi beberapa masalah yang belum terselesaikan, ketika mereka selesai minum masalah asli kemungkinan masih ada, tetapi sekarang mereka mabuk. Tidak lebih dekat untuk menyelesaikan masalah. Ketika kita berurusan dengan hal -hal seperti kecemasan atau depresi, kita perlu melakukan hal -hal yang bekerja untuk menangani gejalanya, tetapi juga mencapai masalah akar yang menciptakan perasaan itu dan menemukan solusi yang efektif. Jadi hal -hal yang kita lakukan untuk mengatasi peristiwa kehidupan tidak perlu menjadi orang yang menyebabkan kita menyakiti, tetapi lebih mendukung kita saat kita bergerak maju dan bekerja untuk menangani apa yang dilemparkan kehidupan pada kita. Kadang -kadang mencari dukungan dari seorang teman atau penasihat adalah a ide bagus. Diberi kesempatan untuk mengekspresikan perasaan Anda tentang apa yang terjadi di sekitar Anda dan mendapatkan umpan balik dan wawasan dari orang lain jauh lebih efektif daripada tindakan melukai diri sendiri, tidakkah Anda setuju? Jadi saya akan mendorong Anda untuk menemukan penasihat atau teman tepercaya yang dapat membantu Anda menemukan perilaku positif yang dapat Anda ambil untuk menangani perasaan Anda, karena Anda juga bekerja untuk menemukan jawaban atas masalah sehari -hari menjalani kehidupan yang dipenuhi dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji dengan janji yang penuh janji dan peluang. Mengurangi jika Anda membutuhkan bantuan ... kemungkinan akan ada tangan di sana menunggu Anda."
